Fecha,Empresa,Tipo,Número Desde,Neto Gravado,Neto No Gravado,Op. Exentas,IVA,Neto,Mes,Razon Social
06/02/2025,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,Facturas A,100600,66072,0,0,13875,66072,2025-02,BA Comex
10/02/2025,Lakaut S.A.,Facturas A,2858688,56745,0,0,11916,56745,2025-02,BA Comex
13/02/2025,Lakaut S.A.,Facturas A,2861639,18846,0,0,3958,18846,2025-02,BA Comex
15/02/2025,Lakaut S.A.,Facturas A,2863838,19040,0,0,3998,19040,2025-02,BA Comex
17/02/2025,Lakaut S.A.,Facturas A,2865503,19040,0,0,3998,19040,2025-02,BA Comex
17/02/2025,Lakaut S.A.,Facturas A,2864956,18648,0,0,3916,18648,2025-02,BA Comex
18/02/2025,Lakaut S.A.,Facturas A,2865987,56754,0,0,11918,56754,2025-02,BA Comex
18/02/2025,Gomez Fernando Alberto,Facturas A,10340,40107,0,0,8423,40107,2025-02,BA Comex
19/02/2025,Lakaut S.A.,Facturas A,2867739,18864,0,0,3961,18864,2025-02,BA Comex
19/02/2025,Coto Centro Integral De Comercializacion Sociedad Anonima,Facturas A,118662,69040,0,0,14498,69040,2025-02,BA Comex
22/02/2025,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,Facturas A,91079,54282,0,0,11399,54282,2025-02,BA Comex
25/02/2025,Papelera Todoplastic S. R. L.,Facturas A,71470,49934,0,0,10486,49934,2025-02,BA Comex
25/02/2025,Lakaut S.A.,Facturas A,2873149,18981,0,0,3986,18981,2025-02,BA Comex
26/02/2025,Lakaut S.A.,Facturas A,2874118,19062,0,0,4003,19062,2025-02,BA Comex
27/02/2025,Lakaut S.A.,Facturas A,2876436,18657,0,0,3918,18657,2025-02,BA Comex
27/02/2025,Lakaut S.A.,Facturas A,2876580,38002,0,0,7981,38002,2025-02,BA Comex
27/02/2025,Lakaut S.A.,Facturas A,2876941,18976,0,0,3985,18976,2025-02,BA Comex
28/02/2025,Hoteles Dionysos S.A.,Facturas A,9157,1552893,0,0,326107,1552893,2025-02,BA Comex
28/02/2025,Sif America Sa,Facturas A,113587,55182,0,0,11588,55182,2025-02,BA Comex
05/03/2025,Lakaut S.A.,Facturas A,2879008,19062,0,0,4003,19062,2025-03,BA Comex
05/03/2025,Soluciones Online Sa,Facturas A,410030,86900,0,0,18249,86900,2025-03,BA Comex
05/03/2025,Lakaut S.A.,Facturas A,2879662,19017,0,0,3994,19017,2025-03,BA Comex
05/03/2025,Mymtec Sa,Facturas A,41117,245266,0,0,51506,245266,2025-03,BA Comex
05/03/2025,Mymtec Sa,Facturas A,11312,97744,0,0,20526,97744,2025-03,BA Comex
05/03/2025,Aranda Luis Alberto,Facturas A,2537,136988,0,0,28767,136988,2025-03,BA Comex
06/03/2025,Lakaut S.A.,Facturas A,2880665,19017,0,0,3994,19017,2025-03,BA Comex
07/03/2025,Coto Centro Integral De Comercializacion Sociedad Anonima,Facturas A,119414,25299,0,0,5313,25299,2025-03,BA Comex
07/03/2025,Telecentro S A,Facturas A,3217971,72260,0,0,15175,72260,2025-03,BA Comex
08/03/2025,Manassero Marcela Adriana,Facturas A,1334,419008,0,0,87992,419008,2025-03,BA Comex
11/03/2025,Lakaut S.A.,Facturas A,2884881,19040,0,0,3998,19040,2025-03,BA Comex
11/03/2025,Lakaut S.A.,Facturas A,2884816,95422,0,0,20039,95422,2025-03,BA Comex
11/03/2025,Lakaut S.A.,Facturas A,2884929,171554,0,0,36026,171554,2025-03,BA Comex
13/03/2025,Lakaut S.A.,Facturas A,2886183,19076,0,0,4006,19076,2025-03,BA Comex
13/03/2025,Fitograf Srl,Facturas A,11184,125702,0,0,26398,125702,2025-03,BA Comex
14/03/2025,Lakaut S.A.,Facturas A,2888874,19166,0,0,4025,19166,2025-03,BA Comex
18/03/2025,Lakaut S.A.,Facturas A,2891738,19197,0,0,4031,19197,2025-03,BA Comex
19/03/2025,Operadora De Estaciones De Servicios Sa,Facturas A,16305,64790,0,0,13606,64790,2025-03,BA Comex
20/03/2025,Lakaut S.A.,Facturas A,2894246,114966,0,0,24143,114966,2025-03,BA Comex
27/03/2025,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,Facturas A,103611,69515,0,0,14598,69515,2025-03,BA Comex
28/03/2025,Lakaut S.A.,Facturas A,2900750,57357,0,0,12045,57357,2025-03,BA Comex
28/03/2025,Lakaut S.A.,Facturas A,2901026,19242,0,0,4041,19242,2025-03,BA Comex
31/03/2025,Lakaut S.A.,Facturas A,2903411,57528,0,0,12081,57528,2025-03,BA Comex
31/03/2025,Sif America Sa,Facturas A,114700,55182,0,0,11588,55182,2025-03,BA Comex
01/04/2025,Mymtec Sa,Facturas A,41500,251153,0,0,52742,251153,2025-04,BA Comex
01/04/2025,Lakaut S.A.,Facturas A,2904445,19112,0,0,4013,19112,2025-04,BA Comex
01/04/2025,Lakaut S.A.,Facturas A,2904447,19120,0,0,4015,19120,2025-04,BA Comex
01/04/2025,Soluciones Online Sa,Facturas A,418095,93000,0,0,19530,93000,2025-04,BA Comex
01/04/2025,Mymtec Sa,Facturas A,11445,98593,0,0,20705,98593,2025-04,BA Comex
03/04/2025,Aranda Luis Alberto,Facturas A,2570,136913,0,0,28752,136913,2025-04,BA Comex
04/04/2025,Telecentro S A,Facturas A,3258798,75510,0,0,15857,75510,2025-04,BA Comex
06/04/2025,Lakaut S.A.,Facturas A,2907861,38394,0,0,8063,38394,2025-04,BA Comex
07/04/2025,Lakaut S.A.,Facturas A,2908337,19332,0,0,4060,19332,2025-04,BA Comex
08/04/2025,Lakaut S.A.,Facturas A,2909331,19251,0,0,4043,19251,2025-04,BA Comex
08/04/2025,Lakaut S.A.,Facturas A,2910300,96304,0,0,20224,96304,2025-04,BA Comex
11/04/2025,Lakaut S.A.,Facturas A,2912676,19350,0,0,4064,19350,2025-04,BA Comex
13/04/2025,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,Facturas A,104717,65139,0,0,13679,65139,2025-04,BA Comex
15/04/2025,Lakaut S.A.,Facturas A,2916939,19372,0,0,4068,19372,2025-04,BA Comex
15/04/2025,Lakaut S.A.,Facturas A,2916413,19332,0,0,4060,19332,2025-04,BA Comex
15/04/2025,Lakaut S.A.,Facturas A,2915725,19332,0,0,4060,19332,2025-04,BA Comex
16/04/2025,Lakaut S.A.,Facturas A,2917335,19346,0,0,4063,19346,2025-04,BA Comex
16/04/2025,Lakaut S.A.,Facturas A,2917265,135153,0,0,28382,135153,2025-04,BA Comex
22/04/2025,Lakaut S.A.,Facturas A,2919810,38624,0,0,8111,38624,2025-04,BA Comex
22/04/2025,Fitograf Srl,Facturas A,11691,145289,0,0,30511,145289,2025-04,BA Comex
23/04/2025,Lakaut S.A.,Facturas A,2921561,19368,0,0,4067,19368,2025-04,BA Comex
24/04/2025,Coto Centro Integral De Comercializacion Sociedad Anonima,Facturas A,122089,39176,0,0,8227,39176,2025-04,BA Comex
24/04/2025,Lakaut S.A.,Facturas A,2922567,19098,0,0,4011,19098,2025-04,BA Comex
24/04/2025,Coto Centro Integral De Comercializacion Sociedad Anonima,Notas De Credito A,4731,-39176,0,0,-8227,-39176,2025-04,BA Comex
25/04/2025,Coto Centro Integral De Comercializacion Sociedad Anonima,Facturas A,122174,39176,0,0,8227,39176,2025-04,BA Comex
28/04/2025,Lakaut S.A.,Facturas A,2928507,58104,0,0,12202,58104,2025-04,BA Comex
30/04/2025,Lakaut S.A.,Facturas A,2930362,19350,0,0,4064,19350,2025-04,BA Comex
30/04/2025,Lakaut S.A.,Facturas A,2930449,19404,0,0,4075,19404,2025-04,BA Comex
30/04/2025,Coto Centro Integral De Comercializacion Sociedad Anonima,Facturas A,122426,29762,0,0,6250,29762,2025-04,BA Comex
30/04/2025,Sif America Sa,Facturas A,115853,55182,0,0,11588,55182,2025-04,BA Comex
01/05/2025,Mymtec Sa,Facturas A,41878,260449,0,0,54694,260449,2025-05,BA Comex
01/05/2025,Mymtec Sa,Facturas A,11581,106947,0,0,22459,106947,2025-05,BA Comex
03/05/2025,La Optica S.A.,Facturas A,1246,283058,0,0,59442,283058,2025-05,BA Comex
04/05/2025,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,Facturas A,95557,66889,0,0,14047,66889,2025-05,BA Comex
05/05/2025,Soluciones Online Sa,Facturas A,426295,93000,0,0,19530,93000,2025-05,BA Comex
05/05/2025,Aranda Luis Alberto,Facturas A,2607,126200,0,0,26502,126200,2025-05,BA Comex
06/05/2025,Telecentro S A,Facturas A,3299879,82300,0,0,17283,82300,2025-05,BA Comex
08/05/2025,Lakaut S.A.,Facturas A,2935502,19404,0,0,4075,19404,2025-05,BA Comex
13/05/2025,Lakaut S.A.,Facturas A,2940748,21132,0,0,4438,21132,2025-05,BA Comex
15/05/2025,Fitograf Srl,Facturas A,12143,83306,0,0,17494,83306,2025-05,BA Comex
15/05/2025,Lakaut S.A.,Facturas A,2942793,20376,0,0,4279,20376,2025-05,BA Comex
15/05/2025,Lakaut S.A.,Facturas A,2942634,19404,0,0,4075,19404,2025-05,BA Comex
16/05/2025,Lakaut S.A.,Facturas A,2944258,20376,0,0,4279,20376,2025-05,BA Comex
19/05/2025,Lakaut S.A.,Facturas A,2946807,102735,0,0,21574,102735,2025-05,BA Comex
19/05/2025,Lakaut S.A.,Facturas A,2946766,107820,0,0,22642,107820,2025-05,BA Comex
19/05/2025,Lakaut S.A.,Facturas A,2946749,20232,0,0,4249,20232,2025-05,BA Comex
20/05/2025,Lakaut S.A.,Facturas A,2947660,20448,0,0,4294,20448,2025-05,BA Comex
21/05/2025,Lakaut S.A.,Facturas A,2948324,20538,0,0,4313,20538,2025-05,BA Comex
22/05/2025,Lakaut S.A.,Facturas A,2949061,21060,0,0,4423,21060,2025-05,BA Comex
23/05/2025,Fitograf Srl,Facturas A,12205,61818,0,0,12982,61818,2025-05,BA Comex
23/05/2025,Coto Centro Integral De Comercializacion Sociedad Anonima,Facturas A,123752,42874,0,0,9004,42874,2025-05,BA Comex
27/05/2025,Lakaut S.A.,Facturas A,2954631,19404,0,0,4075,19404,2025-05,BA Comex
27/05/2025,Lakaut S.A.,Facturas A,2954633,19368,0,0,4067,19368,2025-05,BA Comex
27/05/2025,Lakaut S.A.,Facturas A,2954634,19323,0,0,4058,19323,2025-05,BA Comex
27/05/2025,Lakaut S.A.,Facturas A,2954657,19323,0,0,4058,19323,2025-05,BA Comex
27/05/2025,Lakaut S.A.,Facturas A,2954364,20484,0,0,4302,20484,2025-05,BA Comex
27/05/2025,Lakaut S.A.,Facturas A,2954644,19372,0,0,4068,19372,2025-05,BA Comex
27/05/2025,Lakaut S.A.,Facturas A,2954647,19292,0,0,4051,19292,2025-05,BA Comex
29/05/2025,Lakaut S.A.,Facturas A,2957294,20259,0,0,4254,20259,2025-05,BA Comex
30/05/2025,Lakaut S.A.,Facturas A,2958719,20376,0,0,4279,20376,2025-05,BA Comex
30/05/2025,Lakaut S.A.,Facturas A,2958721,20970,0,0,4404,20970,2025-05,BA Comex
30/05/2025,Lakaut S.A.,Facturas A,2958722,20376,0,0,4279,20376,2025-05,BA Comex
30/05/2025,Lakaut S.A.,Facturas A,2958693,20448,0,0,4294,20448,2025-05,BA Comex
30/05/2025,Lakaut S.A.,Facturas A,2958694,20556,0,0,4317,20556,2025-05,BA Comex
30/05/2025,Lakaut S.A.,Facturas A,2958696,20259,0,0,4254,20259,2025-05,BA Comex
31/05/2025,Sif America Sa,Facturas A,116951,55182,0,0,11588,55182,2025-05,BA Comex
01/06/2025,Mymtec Sa,Facturas A,42263,267743,0,0,56226,267743,2025-06,BA Comex
01/06/2025,Mymtec Sa,Facturas A,11738,109058,0,0,22902,109058,2025-06,BA Comex
02/06/2025,Lakaut S.A.,Facturas A,2959276,20880,0,0,4385,20880,2025-06,BA Comex
02/06/2025,Lakaut S.A.,Facturas A,2959278,20880,0,0,4385,20880,2025-06,BA Comex
02/06/2025,Soluciones Online Sa,Facturas A,435955,93000,0,0,19530,93000,2025-06,BA Comex
02/06/2025,Lakaut S.A.,Facturas A,2959280,20880,0,0,4385,20880,2025-06,BA Comex
02/06/2025,Lakaut S.A.,Facturas A,2959344,20880,0,0,4385,20880,2025-06,BA Comex
02/06/2025,Lakaut S.A.,Facturas A,2959346,20880,0,0,4385,20880,2025-06,BA Comex
02/06/2025,Lakaut S.A.,Facturas A,2959348,20880,0,0,4385,20880,2025-06,BA Comex
03/06/2025,Operadora De Estaciones De Servicios Sa,Facturas A,20715,49971,0,0,10494,49971,2025-06,BA Comex
04/06/2025,Lakaut S.A.,Facturas A,2961203,20259,0,0,4254,20259,2025-06,BA Comex
04/06/2025,Lakaut S.A.,Facturas A,2961640,19390,0,0,4072,19390,2025-06,BA Comex
04/06/2025,Telecentro S A,Facturas A,3341173,86410,0,0,18146,86410,2025-06,BA Comex
04/06/2025,Aranda Luis Alberto,Facturas A,2639,138810,0,0,29150,138810,2025-06,BA Comex
05/06/2025,Lakaut S.A.,Facturas A,2962673,20880,0,0,4385,20880,2025-06,BA Comex
06/06/2025,Lakaut S.A.,Facturas A,2963228,20376,0,0,4279,20376,2025-06,BA Comex
09/06/2025,Sif America Sa,Facturas A,117209,25000,0,0,5250,25000,2025-06,BA Comex
09/06/2025,Lakaut S.A.,Facturas A,2965736,20565,0,0,4319,20565,2025-06,BA Comex
10/06/2025,Lakaut S.A.,Facturas A,2966214,21204,0,0,4453,21204,2025-06,BA Comex
10/06/2025,Lakaut S.A.,Facturas A,2966216,21204,0,0,4453,21204,2025-06,BA Comex
10/06/2025,Lakaut S.A.,Facturas A,2966225,20259,0,0,4254,20259,2025-06,BA Comex
10/06/2025,Lakaut S.A.,Facturas A,2966226,20403,0,0,4285,20403,2025-06,BA Comex
13/06/2025,Lakaut S.A.,Facturas A,2969077,20376,0,0,4279,20376,2025-06,BA Comex
13/06/2025,Lakaut S.A.,Facturas A,2969093,20376,0,0,4279,20376,2025-06,BA Comex
13/06/2025,Lakaut S.A.,Facturas A,2969100,20376,0,0,4279,20376,2025-06,BA Comex
18/06/2025,Lakaut S.A.,Facturas A,2972582,20376,0,0,4279,20376,2025-06,BA Comex
18/06/2025,Lakaut S.A.,Facturas A,2972596,21600,0,0,4536,21600,2025-06,BA Comex
23/06/2025,Operadora De Estaciones De Servicios Sa,Facturas A,19122,60434,0,0,12691,60434,2025-06,BA Comex
24/06/2025,Lakaut S.A.,Facturas A,2976851,20376,0,0,4279,20376,2025-06,BA Comex
26/06/2025,Lakaut S.A.,Facturas A,2980765,21141,0,0,4440,21141,2025-06,BA Comex
30/06/2025,Fitograf Srl,Facturas A,12730,79669,0,0,16731,79669,2025-06,BA Comex
30/06/2025,Sif America Sa,Facturas A,118038,61142,0,0,12840,61142,2025-06,BA Comex
01/07/2025,Coto Centro Integral De Comercializacion Sociedad Anonima,Facturas A,125907,81869,0,0,17193,81869,2025-07,BA Comex
01/07/2025,Lakaut S.A.,Facturas A,2985904,21060,0,0,4423,21060,2025-07,BA Comex
01/07/2025,Lakaut S.A.,Facturas A,2985906,20574,0,0,4321,20574,2025-07,BA Comex
01/07/2025,Lakaut S.A.,Facturas A,2985801,20628,0,0,4332,20628,2025-07,BA Comex
01/07/2025,Soluciones Online Sa,Facturas A,446181,101400,0,0,21294,101400,2025-07,BA Comex
01/07/2025,Lakaut S.A.,Facturas A,2985802,20448,0,0,4294,20448,2025-07,BA Comex
01/07/2025,Lakaut S.A.,Facturas A,2985836,21249,0,0,4462,21249,2025-07,BA Comex
01/07/2025,Lakaut S.A.,Facturas A,2985630,20574,0,0,4321,20574,2025-07,BA Comex
01/07/2025,Mymtec Sa,Facturas A,42692,271761,0,0,57070,271761,2025-07,BA Comex
01/07/2025,Mymtec Sa,Facturas A,11850,110619,0,0,23230,110619,2025-07,BA Comex
03/07/2025,Aranda Luis Alberto,Facturas A,2669,145395,0,0,30533,145395,2025-07,BA Comex
05/07/2025,Telecentro S A,Facturas A,3382587,90290,0,0,18961,90290,2025-07,BA Comex
08/07/2025,Lakaut S.A.,Facturas A,2992844,20880,0,0,4385,20880,2025-07,BA Comex
08/07/2025,Lakaut S.A.,Facturas A,2992845,21276,0,0,4468,21276,2025-07,BA Comex
08/07/2025,Lakaut S.A.,Facturas A,2992818,21411,0,0,4496,21411,2025-07,BA Comex
08/07/2025,Lakaut S.A.,Facturas A,2992826,21141,0,0,4440,21141,2025-07,BA Comex
08/07/2025,Lakaut S.A.,Facturas A,2992827,20880,0,0,4385,20880,2025-07,BA Comex
11/07/2025,Lakaut S.A.,Facturas A,2995035,21330,0,0,4479,21330,2025-07,BA Comex
15/07/2025,Lakaut S.A.,Facturas A,2997350,22122,0,0,4646,22122,2025-07,BA Comex
21/07/2025,Antonio Luquin S A C I F E I,Facturas A,2344,198344,0,0,41652,198344,2025-07,BA Comex
22/07/2025,Lakaut S.A.,Facturas A,3004721,22590,0,0,4744,22590,2025-07,BA Comex
22/07/2025,Operadora De Estaciones De Servicios Sa,Facturas A,20089,64655,0,0,13578,64655,2025-07,BA Comex
23/07/2025,Lakaut S.A.,Facturas A,3005497,22158,0,0,4653,22158,2025-07,BA Comex
23/07/2025,Lakaut S.A.,Facturas A,3005580,21276,0,0,4468,21276,2025-07,BA Comex
23/07/2025,Lakaut S.A.,Facturas A,3004886,21996,0,0,4619,21996,2025-07,BA Comex
23/07/2025,Lakaut S.A.,Facturas A,3004937,23040,0,0,4838,23040,2025-07,BA Comex
24/07/2025,Lakaut S.A.,Facturas A,3006720,22932,0,0,4816,22932,2025-07,BA Comex
25/07/2025,Lakaut S.A.,Facturas A,3009474,21690,0,0,4555,21690,2025-07,BA Comex
25/07/2025,Lakaut S.A.,Facturas A,3009475,22707,0,0,4768,22707,2025-07,BA Comex
25/07/2025,Lakaut S.A.,Facturas A,3009476,21690,0,0,4555,21690,2025-07,BA Comex
25/07/2025,Lakaut S.A.,Facturas A,3009397,22590,0,0,4744,22590,2025-07,BA Comex
25/07/2025,Lakaut S.A.,Facturas A,3009399,23148,0,0,4861,23148,2025-07,BA Comex
25/07/2025,Fitograf Srl,Facturas A,13173,105041,0,0,22059,105041,2025-07,BA Comex
26/07/2025,Lakaut S.A.,Facturas A,3009565,22752,0,0,4778,22752,2025-07,BA Comex
26/07/2025,Lakaut S.A.,Facturas A,3009586,22752,0,0,4778,22752,2025-07,BA Comex
26/07/2025,Lakaut S.A.,Facturas A,3009595,22752,0,0,4778,22752,2025-07,BA Comex
28/07/2025,Coto Centro Integral De Comercializacion Sociedad Anonima,Facturas A,127320,41738,0,0,8765,41738,2025-07,BA Comex
29/07/2025,Lakaut S.A.,Facturas A,3011532,22680,0,0,4763,22680,2025-07,BA Comex
29/07/2025,Lakaut S.A.,Facturas A,3011571,22680,0,0,4763,22680,2025-07,BA Comex
29/07/2025,Lakaut S.A.,Facturas A,3011589,22590,0,0,4744,22590,2025-07,BA Comex
29/07/2025,Lakaut S.A.,Facturas A,3012110,21438,0,0,4502,21438,2025-07,BA Comex
29/07/2025,Lakaut S.A.,Facturas A,3012142,21690,0,0,4555,21690,2025-07,BA Comex
29/07/2025,Lakaut S.A.,Facturas A,3012111,21132,0,0,4438,21132,2025-07,BA Comex
31/07/2025,Sif America Sa,Facturas A,119259,106142,0,0,22290,106142,2025-07,BA Comex
01/08/2025,Mymtec Sa,Facturas A,43084,276108,0,0,57983,276108,2025-08,BA Comex
01/08/2025,Soluciones Online Sa,Facturas A,455783,101400,0,0,21294,101400,2025-08,BA Comex
01/08/2025,Mymtec Sa,Facturas A,11989,126133,0,0,26488,126133,2025-08,BA Comex
02/08/2025,Lakaut S.A.,Facturas A,3015972,21402,0,0,4494,21402,2025-08,BA Comex
04/08/2025,Lakaut S.A.,Facturas A,3017558,22590,0,0,4744,22590,2025-08,BA Comex
06/08/2025,Telecentro S A,Facturas A,3424109,92990,0,0,19528,92990,2025-08,BA Comex
07/08/2025,Lakaut S.A.,Facturas A,3020648,22896,0,0,4808,22896,2025-08,BA Comex
07/08/2025,Aranda Luis Alberto,Facturas A,2699,137211,0,0,28814,137211,2025-08,BA Comex
10/08/2025,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,Facturas A,101591,78568,0,0,16499,78568,2025-08,BA Comex
11/08/2025,Lakaut S.A.,Facturas A,3022936,23976,0,0,5035,23976,2025-08,BA Comex
11/08/2025,Lakaut S.A.,Facturas A,3023206,21393,0,0,4493,21393,2025-08,BA Comex
11/08/2025,Lakaut S.A.,Facturas A,3023208,20916,0,0,4392,20916,2025-08,BA Comex
11/08/2025,Lakaut S.A.,Facturas A,3023171,20916,0,0,4392,20916,2025-08,BA Comex
12/08/2025,Lakaut S.A.,Facturas A,3023632,22617,0,0,4750,22617,2025-08,BA Comex
12/08/2025,Lakaut S.A.,Facturas A,3023653,22617,0,0,4750,22617,2025-08,BA Comex
12/08/2025,Lakaut S.A.,Facturas A,3024115,24093,0,0,5060,24093,2025-08,BA Comex
14/08/2025,Lakaut S.A.,Facturas A,3026676,24093,0,0,5060,24093,2025-08,BA Comex
14/08/2025,Lakaut S.A.,Facturas A,3026689,24480,0,0,5141,24480,2025-08,BA Comex
15/08/2025,Lakaut S.A.,Facturas A,3027973,22698,0,0,4767,22698,2025-08,BA Comex
15/08/2025,Lakaut S.A.,Facturas A,3027941,24732,0,0,5194,24732,2025-08,BA Comex
15/08/2025,Lakaut S.A.,Facturas A,3027918,23976,0,0,5035,23976,2025-08,BA Comex
16/08/2025,Lakaut S.A.,Facturas A,3028187,23310,0,0,4895,23310,2025-08,BA Comex
20/08/2025,Lakaut S.A.,Facturas A,3031762,24552,0,0,5156,24552,2025-08,BA Comex
21/08/2025,Lakaut S.A.,Facturas A,3033037,23310,0,0,4895,23310,2025-08,BA Comex
26/08/2025,Fitograf Srl,Facturas A,13685,367851,0,0,77249,367851,2025-08,BA Comex
27/08/2025,Lakaut S.A.,Facturas A,3038498,23310,0,0,4895,23310,2025-08,BA Comex
27/08/2025,Lakaut S.A.,Facturas A,3039116,23670,0,0,4971,23670,2025-08,BA Comex
29/08/2025,Lakaut S.A.,Facturas A,3042109,23796,0,0,4997,23796,2025-08,BA Comex
29/08/2025,Lakaut S.A.,Facturas A,3042197,24093,0,0,5060,24093,2025-08,BA Comex
30/08/2025,Operadora De Estaciones De Servicios Sa,Facturas A,17529,69189,0,0,14530,69189,2025-08,BA Comex
31/08/2025,Sif America Sa,Facturas A,120492,106142,0,0,22290,106142,2025-08,BA Comex
02/01/2025,Soluciones Online Sa,Facturas B,42860,0,0,0,0,0,2025-01,De la Arena Coll Manuel
10/01/2025,Nss Sa,Facturas B,4257872,0,0,0,0,0,2025-01,De la Arena Coll Manuel
14/01/2025,Corredores Viales Sociedad Anonima,Facturas B,7740611,0,0,0,0,0,2025-01,De la Arena Coll Manuel
15/01/2025,Autopistas Urbanas S A,Facturas A,683098,2640,0,0,554,2640,2025-01,De la Arena Coll Manuel
21/01/2025,Federal Express Corporation,Facturas A,347531,60697,0,28475,12746,89172,2025-01,De la Arena Coll Manuel
26/01/2025,Grimoldi Sociedad Anonima,Facturas B,28108,0,0,0,0,0,2025-01,De la Arena Coll Manuel
27/01/2025,Dhq Srl,Facturas B,1929,0,0,0,0,0,2025-01,De la Arena Coll Manuel
28/01/2025,De Los Rios Carlos Javier,Facturas B,1491,0,0,0,0,0,2025-01,De la Arena Coll Manuel
31/01/2025,Autopistas Urbanas S A,Facturas A,703658,12224,0,0,2567,12224,2025-01,De la Arena Coll Manuel
03/02/2025,Soluciones Online Sa,Facturas B,43505,0,0,0,0,0,2025-02,De la Arena Coll Manuel
05/02/2025,Imaginais S.R.L.,Facturas B,327041,0,0,0,0,0,2025-02,De la Arena Coll Manuel
10/02/2025,Nss Sa,Facturas B,4354367,0,0,0,0,0,2025-02,De la Arena Coll Manuel
15/02/2025,Autopistas Urbanas S A,Facturas A,724719,6540,0,0,1373,6540,2025-02,De la Arena Coll Manuel
18/02/2025,Electrogom,Facturas B,2776,0,0,0,0,0,2025-02,De la Arena Coll Manuel
